time,open,high,low,close
2021/12/15 06:30,385.02,389.38,384.12,388.34
2021/12/15 10:30,385.02,389.38,384.12,388.34
2021/12/15 14:30,387.94,388.42,383.88,385.37
2021/12/15 18:30,385.4,397.4,384.16,397.03
2021/12/15 22:30,385.4,397.4,384.16,397.03
2021/12/16 02:30,385.4,397.4,384.16,397.03
2021/12/16 06:30,385.4,397.4,384.16,397.03
2021/12/16 10:30,385.4,397.4,384.16,397.03
2021/12/16 14:30,398.04,398.41,387.8,389.25
2021/12/16 18:30,389.24,389.72,385.23,386.87
2021/12/16 22:30,389.24,389.72,385.23,386.87
2021/12/17 02:30,389.24,389.72,385.23,386.87
2021/12/17 06:30,389.24,389.72,385.23,386.87
2021/12/17 10:30,389.24,389.72,385.23,386.87
2021/12/17 14:30,383.33,389.18,381.8,387.27
2021/12/17 18:30,387.32,388.23,384.545,384.94
2021/12/17 22:30,387.32,388.23,384.545,384.94
2021/12/18 02:30,387.32,388.23,384.545,384.94
2021/12/18 06:30,387.32,388.23,384.545,384.94
2021/12/18 10:30,387.32,388.23,384.545,384.94
2021/12/18 14:30,387.32,388.23,384.545,384.94
2021/12/18 18:30,387.32,388.23,384.545,384.94
2021/12/18 22:30,387.32,388.23,384.545,384.94
2021/12/19 02:30,387.32,388.23,384.545,384.94
2021/12/19 06:30,387.32,388.23,384.545,384.94
2021/12/19 10:30,387.32,388.23,384.545,384.94
2021/12/19 14:30,387.32,388.23,384.545,384.94
2021/12/19 18:30,387.32,388.23,384.545,384.94
2021/12/19 22:30,387.32,388.23,384.545,384.94
2021/12/20 02:30,387.32,388.23,384.545,384.94
2021/12/20 06:30,387.32,388.23,384.545,384.94
2021/12/20 10:30,387.32,388.23,384.545,384.94
2021/12/20 14:30,379.565,381.5,377.48,378.65
2021/12/20 18:30,378.62,381.27,378.2,380.68
2021/12/20 22:30,378.62,381.27,378.2,380.68
2021/12/21 02:30,378.62,381.27,378.2,380.68
2021/12/21 06:30,378.62,381.27,378.2,380.68
2021/12/21 10:30,378.62,381.27,378.2,380.68
2021/12/21 14:30,384.01,387.07,380.21,387.05
2021/12/21 18:30,387.12,389.53,387.11,389.22
2021/12/21 22:30,387.12,389.53,387.11,389.22
2021/12/22 02:30,387.12,389.53,387.11,389.22
2021/12/22 06:30,387.12,389.53,387.11,389.22
2021/12/22 10:30,387.12,389.53,387.11,389.22
2021/12/22 14:30,388.82,393.23,388.27,391.64
2021/12/22 18:30,391.75,394.15,390.765,393.97
2021/12/22 22:30,391.75,394.15,390.765,393.97
2021/12/23 02:30,391.75,394.15,390.765,393.97
2021/12/23 06:30,391.75,394.15,390.765,393.97
2021/12/23 10:30,391.75,394.15,390.765,393.97
2021/12/23 14:30,394.31,397.9,394.17,397.85
2021/12/23 18:30,397.87,398.41,396.94,396.99
2021/12/23 22:30,397.87,398.41,396.94,396.99
2021/12/24 02:30,397.87,398.41,396.94,396.99
2021/12/24 06:30,397.87,398.41,396.94,396.99
2021/12/24 10:30,397.87,398.41,396.94,396.99
2021/12/24 14:30,397.87,398.41,396.94,396.99
2021/12/24 18:30,397.87,398.41,396.94,396.99
2021/12/24 22:30,397.87,398.41,396.94,396.99
2021/12/25 02:30,397.87,398.41,396.94,396.99
2021/12/25 06:30,397.87,398.41,396.94,396.99
