datetime,open,high,low,close,volume,atr
2024-02-16 17:30:00,433.8,433.9,433.53,433.6,65529,0.521070925
2024-02-16 17:35:00,433.58,433.67,433.22,433.39,55210,0.51599443
2024-02-16 17:40:00,433.39,433.52,433.25,433.31,31512,0.4984234
2024-02-16 17:45:00,433.3,433.59,433.22,433.58,44324,0.4892503
2024-02-16 17:50:00,433.58,433.58,433.21,433.36,31507,0.480732421
2024-02-16 17:55:00,433.35,433.355,432.96,433.24,58563,0.47496582
2024-02-16 18:00:00,433.26,433.26,432.435,432.5,69104,0.499968261
2024-02-16 18:05:00,432.45,432.57,432.2,432.44,94696,0.490684814
2024-02-16 18:10:00,432.4,432.5,431.92,432.14,68065,0.49706447
2024-02-16 18:15:00,432.13,432.51,432.03,432.07,76152,0.495845579
2024-02-16 18:20:00,432.04,432.77,432.03,432.75,86154,0.513285181
2024-02-16 18:25:00,432.74,432.85,432.54,432.65,67362,0.498764811
2024-02-16 18:30:00,432.62,432.8,432.5,432.725,38243,0.484567324
2024-02-16 18:35:00,432.73,433.01,432.69,432.99,29601,0.472812515
2024-02-16 18:40:00,432.98,433.33,432.93,433.31,57648,0.467611621
2024-02-16 18:45:00,433.33,433.48,433.22,433.3,60660,0.45278222
2024-02-16 18:50:00,433.32,433.525,433.31,433.45,41951,0.436512061
2024-02-16 18:55:00,433.43,433.7,433.37,433.685,29661,0.428904057
2024-02-16 19:00:00,433.7,434.24,433.7,434.03,84090,0.43791091
2024-02-16 19:05:00,434.03,434.32,433.98,434.19,69582,0.430917274
2024-02-16 19:10:00,434.23,434.35,434.17,434.2,35248,0.412994611
2024-02-16 19:15:00,434.15,434.26,434.01,434.04,47586,0.401352139
2024-02-16 19:20:00,434.04,434.13,433.87,434.01,48447,0.391255558
2024-02-16 19:25:00,434.01,434.16,433.881,433.98,38459,0.383237303
2024-02-16 19:30:00,434.02,434.09,433.63,433.84,49524,0.388720353
2024-02-16 19:35:00,433.84,433.9,433.43,433.55,41131,0.394526042
2024-02-16 19:40:00,433.53,433.67,433.36,433.42,76311,0.388488468
2024-02-16 19:45:00,433.42,433.44,431.28,431.73,208991,0.515025006
2024-02-16 19:50:00,431.7,431.76,431.12,431.4,129870,0.523951791
2024-02-16 19:55:00,431.41,431.66,431.27,431.64,91947,0.514383806
2024-02-16 20:00:00,431.66,431.81,431.21,431.26,61739,0.520499248
2024-02-16 20:05:00,431.25,431.47,431.18,431.36,44358,0.504035016
2024-02-16 20:10:00,431.34,431.44,430.95,431.3,77527,0.503032515
2024-02-16 20:15:00,431.29,431.5,431.06,431.46,78575,0.498530193
2024-02-16 20:20:00,431.46,431.78,431.26,431.65,73287,0.50006375
2024-02-16 20:25:00,431.67,431.74,431.49,431.57,68043,0.482202054
2024-02-16 20:30:00,431.56,431.71,431.23,431.53,81464,0.482044764
2024-02-16 20:35:00,431.55,431.56,431.065,431.12,71175,0.482970138
2024-02-16 20:40:00,431.14,431.14,430.6,430.73,110635,0.4870437
2024-02-16 20:45:00,430.73,430.97,430.101,430.18,134652,0.514326293
2024-02-16 20:50:00,430.19,430.76,429.995,430.51,184417,0.532231558
2024-02-16 20:55:00,430.505,430.72,430.38,430.57,319882,0.518500732
2024-02-20 14:30:00,428.54,430.07,428.27,429.07,298363,0.64575068
2024-02-20 14:35:00,429.075,429.34,427.53,427.77,220863,0.728911345
2024-02-20 14:40:00,427.78,427.78,426.08,426.6,253319,0.798274821
2024-02-20 14:45:00,426.59,427.08,426.33,426.59,151635,0.794826619
2024-02-20 14:50:00,426.6,426.6,425.69,426.14,200777,0.803053289
2024-02-20 14:55:00,426.15,426.63,426.1,426.17,134624,0.783549483
2024-02-20 15:00:00,426.14,426.22,425.31,425.59,202358,0.792581663
2024-02-20 15:05:00,425.58,425.99,425.41,425.47,133379,0.777397258
2024-02-20 15:10:00,425.47,425.66,424.85,425.07,213733,0.779726026
2024-02-20 15:15:00,425.05,425.79,425.0,425.35,99964,0.780459881
